sex,age,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
M,18,mother,2,1,0,no,no,no,no,yes,no,yes,no,4,4,5,2,4,5,8,7
M,16,other,3,2,1,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,4,10
M,18,mother,1,1,2,no,no,no,no,no,no,yes,no,3,2,5,2,5,5,4,6
M,16,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,3,2,12
M,17,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0,13
M,17,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,5,0,10
F,18,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,4,3,4,1,3,5,2,13
F,17,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,4,2,17
F,19,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,11
M,18,mother,3,2,1,no,no,no,yes,no,no,yes,no,4,4,5,4,4,5,4,11
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,3,5,2,14
F,18,mother,1,3,0,no,yes,no,no,no,yes,no,no,4,4,3,2,3,3,4,14
F,18,mother,1,2,0,yes,no,no,no,yes,yes,no,no,3,2,3,1,1,5,4,13
M,19,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,1,1,1,4,14
M,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,4,1,2,4,2,16
M,17,mother,2,1,0,no,no,no,no,no,no,no,no,5,2,2,1,1,4,0,10
F,17,father,1,4,0,no,no,no,yes,yes,yes,yes,yes,3,4,1,1,1,2,2,12
F,20,other,2,2,0,no,yes,yes,yes,yes,no,yes,yes,1,2,3,1,2,2,8,12
F,18,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,1,2,1,3,2,2,15
M,18,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,3,2,11
M,18,mother,1,3,0,no,no,no,yes,no,yes,no,no,5,3,2,1,1,3,2,12
F,17,mother,1,3,0,no,no,no,yes,no,yes,no,no,3,2,3,1,1,4,2,13
F,18,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,13
M,17,father,2,1,0,no,no,no,no,yes,no,yes,no,4,4,4,2,3,4,8,9
M,18,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,3,4,1,6,16
M,17,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,4,3,4,5,0,14
F,18,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,4,2,2,4,8,12
M,18,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,3,5,4,14
F,18,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4,3,5,1,2,3,12,10
F,19,other,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,3,3,5,16,12
F,18,father,1,4,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,10,16
F,18,mother,2,2,0,no,yes,no,no,no,yes,no,no,4,4,3,1,1,3,2,13
M,17,mother,1,2,0,no,yes,no,yes,no,yes,no,yes,3,5,2,2,2,1,2,18
F,18,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,5,1,2,1,8,15
F,17,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,1,6,16
F,17,mother,2,2,0,yes,yes,no,no,yes,yes,yes,yes,4,4,4,2,3,5,6,12
F,18,mother,2,2,0,no,no,no,no,no,no,yes,yes,4,1,1,1,1,5,15,10
M,18,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,3,2,4,1,4,3,6,12
F,18,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,1,1,4,2,13
F,17,father,3,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,1,8,15
F,19,father,1,2,1,yes,yes,no,no,yes,no,yes,no,3,3,3,4,3,3,0,10
M,18,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,2,1,0,10
M,18,other,2,1,0,no,no,no,no,no,no,yes,no,3,4,4,2,4,4,10,11
M,17,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,4,5,4,2,4,5,22,10
M,17,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,4,3,4,3,18,13
F,18,mother,2,4,0,no,yes,no,yes,yes,yes,no,no,5,2,2,1,1,3,2,18
F,18,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,1,4,0,13
F,17,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,5,1,2,5,12,14
F,18,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,1,1,1,5,10,14
M,17,father,1,2,0,no,no,no,no,no,yes,yes,no,4,3,3,1,2,4,0,12
F,18,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,2,0,18
F,17,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,0,14
M,18,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,2,4,1,3,2,0,15
M,18,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,2,0,17
M,18,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,4,5,2,16
F,17,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,3,0,18
F,17,mother,2,4,0,no,yes,no,no,yes,yes,no,no,3,1,2,1,1,3,0,19
M,18,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,1,4,0,15
M,17,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,3,5,0,15
F,19,other,2,2,0,no,yes,no,yes,yes,yes,yes,no,2,3,4,2,3,2,2,13
F,18,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,5,1,2,2,0,14
F,18,father,1,4,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,0,17
M,18,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,1,4,2,2,2,1,0,17
F,18,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,2,4,1,1,4,0,15
M,17,father,2,1,0,no,no,no,no,yes,yes,yes,no,4,1,1,2,2,5,0,13
F,17,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,5,0,8
F,17,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,0,16
F,17,father,1,4,0,no,yes,no,yes,no,yes,yes,no,5,2,2,1,2,5,0,18
M,19,mother,2,3,1,no,no,no,yes,yes,yes,yes,yes,4,3,1,1,1,5,0,11
M,20,other,1,1,2,no,no,no,yes,yes,yes,no,no,5,5,3,1,1,5,0,15
M,19,father,1,2,0,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,5,0,11
F,18,mother,1,2,0,yes,yes,no,no,no,yes,no,yes,3,4,4,1,2,5,2,11
F,18,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,2,1,2,15
F,17,father,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,1,1,1,3,2,14
F,17,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,4,4,1,1,5,2,17
F,18,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,2,17
F,18,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,2,4,1,4,1,8,15
F,17,father,1,3,0,no,yes,no,yes,no,yes,yes,no,4,3,4,2,5,5,2,17
F,18,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,4,1,1,3,8,14
M,19,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,1,9,10
F,18,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,5,0,13
F,18,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,1,4,14
F,17,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,2,5,2,17
F,17,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,1,2,5,14,17
F,17,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,3,3,1,1,5,0,13
F,17,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,2,2,2,2,14
M,18,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,5,3,4,5,2,11
F,19,other,3,3,0,no,no,no,yes,yes,no,no,yes,1,5,5,4,3,5,12,11
F,19,other,3,2,2,no,yes,no,no,no,yes,yes,yes,5,3,4,1,1,4,2,9
F,18,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,5,2,4,5,2,10
F,17,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,1,1,3,4,13
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,2,2,3,0,10
F,17,father,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,3,2,3,5,0,17
F,17,father,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,3,2,3,2,0,15
F,18,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,2,2,0,14
M,18,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,2,3,0,13
M,17,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,5,3,5,5,0,17
M,17,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,4,2,10
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,3,4,0,13
F,17,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,4,3,3,1,2,4,4,15
F,17,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,5,5,2,11
M,18,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,5,5,2,4,5,0,12
M,19,other,1,1,0,no,yes,no,no,no,yes,no,yes,5,3,4,2,2,5,0,10
F,18,mother,4,2,0,no,no,no,yes,yes,yes,no,yes,4,2,5,1,1,2,2,10
F,17,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,5,0,15
M,18,mother,1,1,0,no,no,no,no,no,yes,yes,no,5,4,2,1,2,5,6,15
F,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,8,12
F,18,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,0,12
F,18,mother,2,4,0,no,no,no,yes,yes,yes,no,no,4,4,4,1,1,4,6,14
F,17,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,3,5,8,14
F,17,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,2,3,2,0,15
F,18,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,1,4,15
F,17,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,2,0,16
M,18,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,2,0,13
M,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,3,5,6,17
F,17,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,3,1,1,2,4,18,14
F,18,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,3,0,14
F,18,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,4,17
M,18,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,3,2,1,2,4,4,17
M,18,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,4,5,2,3,5,0,14
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,13
F,17,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,2,1,10,15
F,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,4,4,4,16
F,19,other,2,1,1,no,no,no,no,yes,no,yes,no,2,2,3,3,4,5,16,11
F,17,mother,1,1,1,no,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,3,6,13
F,21,other,1,3,2,no,no,yes,yes,yes,yes,yes,no,3,3,2,1,1,5,0,12
M,18,mother,1,2,0,no,yes,no,yes,no,no,yes,no,4,4,4,1,3,3,11,12
M,18,other,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,1,4,2,9,15
F,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,3,4,0,17
M,17,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,2,4,2,15
F,18,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,3,0,17
M,21,other,2,2,2,no,yes,no,yes,yes,no,yes,yes,5,3,3,5,2,4,21,10
F,20,other,2,3,0,no,no,no,no,yes,yes,yes,yes,3,2,2,1,3,3,8,15
F,19,other,1,1,1,no,yes,no,no,yes,yes,yes,yes,3,2,5,4,4,5,5,11
M,17,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,5,10,18
F,18,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,2,5,17
M,18,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,1,3,4,5,4,13,14
M,19,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,1,4,4,10,11
F,18,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,1,4,1,3,4,10,17
F,20,mother,2,1,1,yes,no,no,no,yes,yes,yes,yes,5,3,1,1,1,5,5,10
F,18,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,3,1,2,1,2,1,4,13
F,16,father,2,1,0,no,yes,no,no,yes,no,yes,yes,4,3,3,1,3,5,11,11
F,16,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,5,0,12
F,15,mother,1,1,1,no,yes,no,no,yes,yes,no,yes,4,1,3,1,1,2,6,10
F,15,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,2,3,5,4,11
F,16,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,5,2,1,2,5,0,17
F,15,mother,2,1,0,no,no,no,no,yes,no,no,no,1,3,4,1,1,1,0,9
M,16,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,1,3,2,5,11
M,16,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,4,4,3,1,1,5,0,11
F,17,father,1,2,1,no,no,no,no,yes,yes,no,yes,4,5,4,1,2,5,0,10
F,17,father,1,1,1,no,yes,no,no,no,no,yes,no,5,4,4,2,2,5,0,7
F,15,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,1,5,1,3,5,5,0,14
F,16,mother,2,4,0,no,no,no,yes,no,no,no,yes,1,2,1,1,1,1,4,11
F,15,father,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,4,0,10
F,15,mother,2,1,1,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,2,2,4,8
F,16,mother,2,1,0,no,yes,no,yes,yes,yes,no,no,3,2,3,1,2,2,0,12
F,17,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,5,5,1,3,3,2,12
F,15,father,2,1,0,no,no,no,no,no,yes,yes,no,4,1,3,1,1,4,0,16
M,16,mother,2,2,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,4,5,3,0,0
M,17,mother,1,2,0,no,no,yes,no,no,yes,yes,no,4,4,3,2,4,5,4,9
M,15,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,0,14
M,15,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,2,7,8
M,16,mother,3,2,0,no,no,no,no,no,yes,no,no,3,4,5,1,2,5,4,11
M,15,mother,4,2,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,2,4,4,8,9
M,15,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,0,11
M,17,mother,3,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,5,5,3,8,9
F,16,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,4,2,2,1,1,4,6,17
F,15,mother,2,1,0,no,no,no,no,yes,yes,no,no,5,1,2,1,1,1,3,13
F,16,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,5,4,1,2,1,2,15
M,16,father,2,2,0,no,no,no,no,yes,yes,no,no,4,3,3,1,1,5,0,11
F,16,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,4,5,1,1,4,4,11
F,16,mother,1,3,1,no,yes,no,no,yes,yes,no,no,1,3,2,1,2,4,0,8
F,16,mother,1,3,1,no,yes,no,no,yes,yes,no,no,1,3,2,1,2,4,3,8
F,15,mother,1,2,0,yes,yes,no,no,no,yes,yes,no,4,4,2,3,3,2,0,9
F,16,father,1,2,0,no,yes,no,no,no,yes,no,yes,5,4,3,2,1,2,0,15
M,17,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,5,5,5,5,3,4,11
F,16,father,4,4,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,1,0,13
F,16,father,4,3,0,yes,yes,no,no,yes,yes,no,no,4,4,3,1,1,5,2,10
F,15,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,2,1,11
F,16,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,4,2,2,4,3,2,0,14
F,15,father,3,2,0,no,yes,no,no,yes,yes,no,no,4,2,1,1,2,2,0,14
F,15,father,1,3,0,yes,yes,no,no,yes,yes,no,no,4,4,3,2,2,5,2,12
M,16,father,2,1,0,no,no,no,yes,yes,yes,no,no,3,4,4,3,4,5,6,11
F,18,father,1,2,1,no,yes,no,yes,yes,yes,yes,yes,3,4,4,2,3,5,9,8
M,15,mother,2,1,0,no,yes,no,no,yes,yes,no,no,3,2,3,1,3,4,0,11
F,16,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,2,1,14
M,15,mother,3,1,0,no,no,no,no,yes,yes,no,no,4,3,3,1,2,4,1,13
M,16,father,1,2,0,no,yes,no,yes,yes,yes,no,yes,4,3,1,1,1,3,0,13
F,15,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,5,4,1,1,1,4,12
F,16,mother,2,2,1,no,yes,no,yes,no,yes,no,no,4,4,4,2,3,5,2,12
F,16,father,3,1,0,no,yes,no,yes,yes,yes,no,yes,4,3,2,1,1,4,0,16
M,16,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,4,3,2,3,4,4,10
M,15,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,3,5,3,2,11
F,15,mother,2,3,0,no,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,0,14
F,16,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,3,1,1,5,2,8
M,15,father,2,1,0,no,yes,no,yes,no,yes,yes,no,4,3,3,2,4,3,11,11
F,16,father,2,2,3,yes,yes,no,no,yes,yes,no,no,3,4,3,1,1,1,0,8
F,17,mother,1,1,0,no,yes,no,yes,yes,no,no,no,4,5,3,1,1,5,4,10
F,19,other,1,1,1,no,no,no,no,yes,no,yes,yes,4,4,4,1,1,2,0,10
F,17,mother,3,1,0,no,yes,no,yes,yes,no,no,yes,5,5,3,1,1,3,2,11
F,15,mother,2,1,0,no,yes,no,no,yes,no,no,yes,5,2,1,1,3,4,0,9
F,16,father,3,2,0,no,yes,no,no,yes,no,yes,no,3,4,5,1,2,1,1,11
F,16,mother,1,1,0,no,yes,no,no,yes,no,no,no,4,3,4,1,2,1,6,8
F,17,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,5,1,2,4,0,11
F,16,father,1,1,1,no,yes,yes,yes,no,yes,yes,no,4,4,3,1,4,3,1,10
F,18,other,2,3,2,no,yes,no,no,no,no,no,yes,3,3,2,1,1,2,6,10
F,19,mother,1,3,1,no,no,no,yes,yes,no,no,yes,5,3,1,1,1,3,6,9
M,18,mother,2,1,1,no,no,no,yes,yes,no,yes,no,4,4,3,3,4,4,0,10
F,18,mother,2,1,1,no,no,no,no,no,no,yes,yes,3,2,3,1,1,2,4,10
F,19,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,1,1,4,4,1,1,12,9
F,16,mother,1,2,0,no,no,no,no,no,yes,no,yes,3,3,2,1,1,3,2,10
F,17,father,2,1,0,no,no,no,yes,no,yes,no,no,2,4,4,3,5,5,5,10
F,16,mother,1,2,0,no,no,no,yes,yes,no,yes,no,4,4,5,1,3,3,0,9
F,16,mother,1,1,0,no,no,no,yes,yes,no,yes,yes,4,5,4,1,1,4,0,13
F,16,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,2,2,4,2,14
M,17,mother,2,4,1,no,yes,yes,yes,yes,yes,no,no,5,4,5,3,4,5,0,10
F,16,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0,14
F,16,mother,1,1,0,no,yes,yes,yes,yes,yes,no,yes,4,2,5,1,2,5,0,16
M,17,father,1,1,1,no,yes,no,yes,yes,no,yes,yes,5,3,5,5,5,1,12,7
M,16,father,1,1,0,no,no,no,yes,yes,yes,yes,no,4,2,5,1,5,5,8,13
M,17,mother,3,4,1,no,yes,no,no,yes,yes,no,no,1,3,5,3,5,3,2,9
F,16,other,1,4,0,yes,yes,no,yes,yes,yes,yes,no,2,2,1,1,1,5,0,14
F,19,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,1,1,1,0,13
F,17,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,4,5,1,2,5,0,11
F,20,mother,2,2,1,no,no,no,yes,yes,yes,yes,yes,3,3,4,2,4,3,8,10
F,17,father,1,3,0,no,yes,no,no,yes,yes,no,yes,4,3,3,1,1,3,0,10
M,17,mother,3,1,1,no,yes,no,no,no,yes,yes,no,4,4,5,1,2,5,0,9
F,16,father,3,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,1,1,1,0,18
F,17,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,5,3,2,1,1,1,0,17
F,17,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,5,1,1,4,1,10
F,18,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,1,5,9,7
F,16,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,1,0,8
F,16,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,1,3,1,4,3,2,7
F,18,mother,2,2,0,yes,no,no,no,yes,yes,no,no,2,3,5,1,4,3,8,10
F,16,father,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,2,3,2,0,16
F,16,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,5,1,4,2,0,15
F,18,father,1,2,1,no,yes,no,no,yes,yes,yes,no,2,3,2,1,3,1,8,8
M,16,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,5,2,1,1,1,2,0,0
F,16,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,3,5,6,8
F,16,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,2,0,10
F,16,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,3,4,8
M,18,mother,1,4,0,no,yes,no,yes,yes,no,yes,yes,5,5,5,5,5,5,2,6
F,16,mother,3,2,0,no,yes,no,no,no,yes,no,no,4,2,1,1,1,2,2,8
M,17,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,2,5,0,16
F,17,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,2,5,1,14
M,16,mother,4,3,0,no,no,no,no,yes,yes,no,no,5,1,3,2,2,3,0,10
F,17,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,1,3,1,2,5,5,9
F,16,father,2,1,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,2,5,1,11
M,17,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,5,5,3,8,9
M,17,mother,3,2,0,no,no,no,no,yes,yes,yes,yes,5,1,3,3,3,1,0,10
M,16,mother,2,2,0,no,no,no,no,no,yes,yes,yes,4,2,2,1,4,5,2,8
F,16,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,2,2,1,1,3,0,16
M,16,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,1,2,2,5,5,0,12
M,15,mother,3,2,0,no,yes,no,yes,yes,yes,no,no,5,5,5,1,3,5,11,10
M,15,mother,3,4,0,no,yes,no,yes,yes,yes,no,no,5,4,5,2,3,5,8,14
M,15,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,5,11,12
F,16,mother,1,3,0,no,yes,no,no,no,yes,no,yes,4,3,3,2,2,5,2,11
F,16,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,1,2,4,2,2,1,8,10
F,17,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,3,3,2,2,1,5,11
F,17,mother,2,2,0,yes,no,yes,no,yes,yes,no,no,5,1,3,1,1,5,0,11
F,16,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,1,4,5,1,12
M,17,father,3,1,3,no,no,no,yes,yes,yes,yes,yes,3,3,3,1,3,5,2,8
M,17,father,2,1,0,no,no,no,yes,yes,yes,no,yes,5,1,2,3,3,5,2,12
M,17,mother,1,2,1,no,yes,no,yes,no,yes,yes,yes,5,4,4,3,4,5,8,8
F,17,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,5,1,1,5,0,16
M,16,father,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,2,1,2,0,11
F,17,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,5,5,1,2,3,2,11
F,17,mother,2,2,0,yes,yes,no,no,no,yes,yes,no,4,3,3,2,3,5,0,18
M,16,father,2,2,0,no,yes,no,no,no,yes,yes,yes,4,1,2,2,2,5,0,13
M,17,father,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,1,2,2,2,1,0,13
M,19,mother,1,2,2,no,yes,no,yes,yes,no,yes,no,4,4,3,3,4,4,2,10
M,17,mother,1,1,0,no,no,no,no,yes,yes,no,yes,4,1,2,1,1,5,4,12
F,17,father,2,1,0,no,yes,no,yes,yes,no,yes,yes,3,5,5,2,2,4,3,10
F,16,father,1,3,0,yes,yes,no,no,no,yes,yes,yes,4,3,4,1,1,3,5,13
M,16,mother,1,1,0,no,no,no,no,yes,yes,no,no,4,4,4,2,4,5,4,11
F,17,mother,2,2,3,no,yes,no,yes,no,yes,yes,yes,5,4,4,1,1,5,2,10
M,17,mother,2,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,3,5,5,0,10
M,18,other,3,1,1,yes,yes,no,no,yes,yes,no,no,4,3,2,1,1,4,0,13
M,17,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,5,1,3,2,0,10
M,18,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,1,4,5,6,10
F,16,father,1,2,0,no,no,no,yes,yes,yes,no,yes,5,4,3,1,1,1,0,12
M,17,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,1,2,1,2,3,5,0,0
M,16,father,2,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,3,5,2,10
M,16,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,2,4,5,0,9
M,18,other,2,1,1,no,yes,no,no,yes,no,yes,yes,5,3,3,2,3,5,2,9
